name,line
Rigby,Yes! Fist Pump!
Rigby,"(laughs) Yeah, yeah!"
Rigby,(laughs)
Main Announcer,"Listen up, pump heads, Fist Pump is coming to Slammers! They just got out of jail and rehab, and now they're back, and ready to rock your 11-to-15-year-old pants off! That's our demographic, get over it. That's right! Fist Pump live!"
Background Announcer,Live!
Main Announcer,At Slammers this Friday!
Background Announcer,Friday!
Main Announcer,Be there or be a loser!
Mordecai,(laughs) There's gonna be so many losers at that concert.
Rigby,We have to go to that concert!
Mordecai,"Seriously? Dude, they were cool in the third grade, but now...?"
Rigby,"Correction, they're cool in any grade, but you wouldn't know that. Probably because you hate yourself or something!"
Mordecai,"Dude, we don't have the money for those tickets."
Rigby,"Doesn't even matter! We can figure out a way, but you're too busy figuring out a way to hate yourself!"
Mordecai,Why do you wanna go so bad?
Rigby,Going to this concert could be the biggest moment of my life...
Mordecai,"Wow, sounds like your life sucks."
Rigby,Shut up!
Margaret,"Hey, guys."
Mordecai,"Hey, Margaret."
Margaret,Were you guys talking about the concert?
Rigby,We were talking about a concert. Is the concert you're talking about Fist Pump?
Margaret,"(laughs) Yeah, cool."
Mordecai,"Wait, you're going?"
Margaret,"Yeah, I am! I know they're kinda old, but I remember them from when I was a kid. Besides, everyone is gonna be there. It's gonna be fun. You guys gonna go?"
Mordecai,I'm totally gonna go.
Rigby,"Oh, so now you're gonn-"
Mordecai,We'll be there.
Margaret,"Cool, see you guys there."
Mordecai,"Yeah, see ya."
Rigby,I can't believe you're going to a Fist Pump concert just for some lady pecs.
Mordecai,"Rigby, one day you'll be old enough to understand the real reason that people go to concerts."
Rigby,"Whatever, it's to listen to music, I already know that. Now, how are we going to get the money for those tickets?"
Mordecai,"Dude, it's gonna be easy. We just have to work some extra hours."
Rigby,Extra work? I don't even like regular work.
Mordecai,Do you like Fist Pump?
Rigby,Yes.
Mordecai,"Hmph, then you like extra work."
Rigby,"Hmph, fine."
Mordecai,"Hmph, hmph."
Rigby,"Hmph, hmph."
Rigby,"Hmph, hmph, hmph, hmph, hmph, hmph, hmph, hmph..."
Benson,"Let me get this straight. You and Rigby want me to give you overtime, and even though you can't even finish the regular amount of work that you normally have, you want me to add on even more..."
Mordecai,Yes.
Benson,(laughs) No.
Rigby,"Aw, come on, Benson, please! Fist Pump is playing at Slammers and we don't have enough money for tickets!"
Benson,(laughs) Are you serious? Fist Pump? You know what kind of people go to those concerts?
Muscle Man,"Woo! That's right, ladies! We got two tickets to Fist Pump! See you later, grandmas!"
Rigby,"Benson, you listen and you listen good."
Rigby,Please Benson! Please give us overtime! Please!
Benson,What is the big deal? It's just some talentless band.
Skips,"Actually, they aren't that bad, not that I'm into that stuff. We are pretty backed up though. I think you should give them the work."
Pops,"Oh, I agree. I say if they want to see ""Pump Fist"", then let them see ""Pump Fist""!"
Benson,(sighs) Fine. You can work overtime.
Rigby,OOHHHH!!!
Benson,"Here's a list of things we need done, when you finish them, you'll get your money."
Rigby,OOOHHHH!!!
Benson,(sighs) Idiots.
Montage,"Mordecai and Rigby clean the gutters, with Rigby on the roof grabbing the dirt and throwing it down to Mordecai on the ground, holding a bucket. They then clean the cart, with Rigby wiping the front of the cart and Mordecai wiping the back, while holding a hose. They then take out the trash, with Mordecai throwing a trash bag to Rigby, who dumps it into a dumpster. They both start fist-pumping and Mordecai crosses ""Trash"" off the chore list. They then clean the bathroom, with Rigby unclogging the toilet and Mordecai wiping down the sink. They then wash the dishes, with Mordecai pulling dishes out of the sink and passing them to Rigby to dry them off. They start fist-pumping again, and Mordecai crosses ""Dishes"" off the chore list. The montage is then interrupted as Rigby switches off a boombox. He and Mordecai look exhausted)"
Rigby,"Dude, I'm fading fast."
Mordecai,"Don't worry, dude. We just gotta fight it with coffee!"
Mordecai,Two for Fist Pump.
Ticket Guy,$400.
Rigby,What?
Mordecai,But I thought they were 50!?
Ticket Guy,$50 tickets are sold out. All that's left are Super Deluxe front row seats.
Mordecai,"Aw, man!"
Rigby,"No, no, no!"
Rigby,"Mordecai, wait! Wait, man. We can't give up. Fist Pump!"
Mordecai,"I know, dude, but I just don't want to work anymo-oh my..."
Mordecai,"Maybe I could work a little more. Alright, dude. Let's do this."
Mordecai,You're lucky I care about lady pecs.
Mordecai,"Benson, we need more money."
Rigby,"Yeah, give us more money."
Benson,There's no more chores left. Unless...you want to mow the lawn?
Rigby,The lawn!?
Mordecai,"Aw, what? That'll take forever!"
Benson,Here's the keys. You know where the mower is.
Benson,Good luck.
Mordecai,"Hmph, hmph. Who needs luck when we have coffee?"
Rigby,Ohhhhhh...
Rigby,"Dude, seriously though, my eyes won't stay open anymore, and I think we're almost out of coffee."
Mordecai,"Nonsense, dude. We got plenty of coffee."
Rigby,"Mordecai, what happened?"
Mordecai,Need more coffee...need more Margaret...
Rigby,Fist Pump...
Coffee Bean,"Coffee, coffee."
Coffee Bean,Coffee?
Translator,"""Greetings, fellow Fist Pump fans. May we help you get some tickets?"""
Mordecai,What? Who are you?
Giant Coffee Bean,"Coffee, coffee!"
